year,stcd,inc,pwin,dv,dvp,fr,po1,po2 ,redist ,dexp ,rexp,dpres
2014,4313,0,0,13.2,,0,0,0,0,,1693676.89,18.74
2014,4314,0,0,36.8,45.5,1,0,0,0,29082.53,595588.25,39.98
2014,4315,1,1,55.5,62.3,0,0,0,0,466828.16,129149.66,58.04
2014,4316,1,1,69.8,66.5,1,0,0,0,409513.03,,65.05
2014,4317,0,0,33.4,,0,0,0,0,,1437622.76,38.43
2014,4318,1,1,74.4,76.9,0,0,0,0,384140.12,7668.99,76.95
2014,4319,0,0,19.3,,0,0,0,0,58682.45,1885967.26,25.35
2014,4320,1,1,,65.6,1,5,2,0,1182967,,59.74
2014,4321,0,0,,36.9,0,5,2,0,,1567732.66,38.79
2014,4322,0,0,32.2,33.3,0,0,0,0,,1299370,37.15
2014,4323,1,0,48.9,52.5,1,0,0,0,2677952.94,1437693.88,48.68
2014,4324,0,0,33.2,37.1,0,0,0,0,9517,431771.68,38.62
2014,4325,0,0,37.6,39.1,1,0,0,0,25125.98,1564454,38.69
2014,4326,0,0,,29.6,0,5,2,0,,1068922.72,31.23
2014,4327,0,0,34.6,40.9,0,0,0,0,315648.51,1081931.76,38.70
2014,4328,1,1,,69.5,0,5,2,0,937077.56,,60.91
2014,4329,1,1,,,0,5,2,0,687925.69,,66.63
2014,4330,1,1,,80.6,0,5,2,0,546099.31,,80.24
2014,4331,0,0,33.3,36.3,0,0,0,0,67648.66,862690.1,39.12
2014,4332,0,0,36.4,40.4,0,0,0,0,8388.8,3015805.12,42.13
2014,4333,1,1,,73.8,1,5,2,0,1224552.49,,72.65
2014,4334,1,1,60.7,63.1,1,0,0,0,867734.58,121835.61,61.35
2014,4335,1,1,65.2,66.6,0,1,0,0,630989.94,243950.43,64.55
2014,4336,3,0,22.5,27.3,9,3,0,0,16651.42,972204.8,25.99
2014,4401,0,0,30.2,25.7,0,0,0,0,268195.7,527674.89,20.86
2014,4402,0,0,34.9,35.0,1,1,4,0,147221.67,665016.23,30.04
2014,4403,0,0,23.7,23.4,0,0,0,0,,785880.88,19.94
2014,4404,2,0,47.4,50.2,9,3,0,0,866594.58,5159839.83,31.01
2014,4501,1,1,67.5,75.6,0,0,0,0,700782.62,4557.69,68.23
2014,4601,0,0,35.3,42.3,0,1,0,0,108214.29,866738.26,46.25
2014,4602,0,0,41.2,46.2,0,0,0,0,876469.57,1605821.48,50.76
2014,4603,1,1,,81.5,0,5,2,0,473415.24,,79.80
2014,4604,0,0,38.4,43.0,0,0,0,0,30933.52,1082779.62,49.34
2014,4605,0,0,37.1,43.6,0,0,0,0,86054.45,1227680.93,46.65
2014,4606,0,0,,34.6,0,5,2,0,49987.29,1710543.21,40.18
2014,4607,3,0,37.8,41.5,9,0,0,0,534105.66,1408692.93,42.29
2014,4608,2,1,66.8,67.9,9,2,0,0,2789737.97,115577.76,68.62
2014,4609,0,0,,38.6,0,5,2,0,,889987.39,35.61
2014,4610,3,0,41.7,39.9,9,4,6,0,3036063.25,3403549.82,49.44
2014,4611,1,1,58.5,63.2,0,0,0,0,1455122.86,276141.63,63.26
2014,4701,1,1,55.0,53.9,1,0,0,0,2289912.54,701552.78,55.54
2014,4702,1,1,60.6,61.1,0,0,0,0,1112277.5,9984.99,60.91
2014,4703,0,0,38.5,39.6,0,0,0,0,204435.25,944900.63,49.13
2014,4704,10,0,,33.8,9,6,6,0,,981594.96,38.83
2014,4705,0,0,39.3,38.1,0,0,0,0,189061.51,2910112,44.96
2014,4706,1,1,63.0,59.0,1,0,0,0,1239105.78,23310.22,57.66
2014,4707,1,1,81.0,79.7,0,0,0,0,581722.86,10229,81.40
2014,4708,0,0,36.7,40.3,0,0,0,0,235196.22,991616.85,50.82
2014,4709,1,1,70.8,71.6,0,0,0,0,795120.49,11664.69,69.77
2014,4710,1,1,54.7,58.6,1,1,4,0,1744517.95,91317.53,57.80
2014,4801,0,0,36.1,37.5,0,1,0,0,447557.33,2021173.96,36.34
2014,4802,3,0,48.3,30.2,9,0,0,0,1993275.77,2010180.72,38.78
2014,4803,1,0,44.7,54.0,0,1,4,0,2645213.57,1647575.47,33.54
2014,4901,0,0,36.7,44.1,0,1,0,0,704510.02,8051589.53,47.88
2014,4902,1,1,68.5,68.0,1,0,0,0,896399.74,26723.42,69.13
2014,4903,1,1,56.5,64.1,0,0,0,0,1162176.49,304791,55.58
2014,4904,1,1,72.3,74.4,0,0,0,0,1045919.25,21964.33,75.98
2014,4905,0,0,30.4,32.1,0,0,0,0,13917,326996.44,38.08
2014,4906,3,0,41.9,37.8,9,4,6,0,277123.32,1191796.34,46.31
2014,4907,0,0,39.9,43.8,0,1,0,0,526935.08,1970452.97,48.43
2014,4908,0,0,35.0,44.0,0,1,0,0,22206.18,1066298,48.13
2014,5001,0,0,25.1,25.7,0,0,0,0,,300949.02,28.81
