year,unemployment,suicides
1968,3.6,107
1969,3.5,110
1970,4.9,115
1971,5.9,117
1972,5.6,120
1973,4.9,120
1974,5.6,121
1975,8.5,127
1976,7.7,125
1977,7,133
1978,6,125
