male,white,black,hispanic,mompro2,poppro2,siblings,norest96,norcen96,south96,west96,height81,height85,esteem80,athlets,wage96,hgc96,daded79,momed79,age,clubnum
0,1,0,0,0,0,3,0,0,1,0,65,65,25,0,12,11,12,12,32,0
1,1,0,0,0,0,3,0,0,1,0,69,69,21,0,1.2121212,12,6,11,33,0
0,1,0,0,0,0,8,0,0,1,0,67,67,17,0,4.0250449,9,6,9,32,0
1,1,0,0,0,0,2,,,,,69,68,22,0,,,12,9,,1
0,1,0,0,1,0,8,0,0,1,0,60,63,21,0,10.336538,12,,9,33,0
1,1,0,0,0,0,6,,,,,71,71,26,0,,,9,9,,0
1,1,0,0,0,1,1,0,0,1,0,65,65,21,1,8.4134617,12,12,12,,0
1,1,0,0,0,0,3,0,0,1,0,70,70,28,0,7.6923075,12,11,11,38,0
0,1,0,0,0,0,4,0,0,1,0,,61,27,0,7.6999998,12,12,12,38,1
0,1,0,0,0,0,2,0,0,1,0,67,67,21,0,6.818182,12,12,12,32,0
0,1,0,0,0,0,3,0,0,1,0,67,67,25,0,15.909091,16,12,12,38,3
0,1,0,0,0,0,3,0,0,1,0,66,67,20,1,9.1346149,12,14,12,32,3
0,1,0,0,0,0,2,0,0,1,0,64,65,26,0,,12,14,12,34,4
0,1,0,0,0,0,2,0,0,0,1,65,64,28,1,29.807692,18,14,12,,1
1,1,0,0,0,0,2,0,0,1,0,71,72,28,0,12.980769,12,12,13,33,0
1,1,0,0,0,0,1,0,0,1,0,75,77,22,0,6.0728745,12,12,12,32,0
0,1,0,0,0,0,3,0,0,1,0,65,66,28,1,12.5,14,9,12,34,0
0,1,0,0,0,0,2,0,0,1,0,64,64,21,0,,11,11,12,38,0
1,1,0,0,0,0,2,0,0,1,0,69,70,19,0,13.461538,9,12,12,36,0
0,1,0,0,1,0,2,0,0,1,0,59,59,28,0,13.313609,14,12,14,37,0
0,1,0,0,0,1,2,0,0,0,1,63,63,27,0,31.060606,18,15,18,36,0
0,1,0,0,0,0,0,0,0,1,0,64,64,24,0,7.1428571,12,12,12,35,2
1,1,0,0,0,0,2,,,,,70,,24,,,,12,12,,
1,1,0,0,0,0,2,0,0,1,0,69,69,21,1,7.1428571,12,12,12,38,1
1,1,0,0,0,0,3,,,,,67,67,,,,,11,,,
1,1,0,0,0,0,3,0,0,1,0,70,70,,0,,12,,,33,0
1,1,0,0,0,1,2,0,0,0,1,73,73,23,0,19.333334,16,12,12,37,0
0,0,1,0,0,0,3,0,0,1,0,67,66,27,1,19.23077,15,,11,36,1
0,0,1,0,0,0,3,0,0,1,0,66,66,28,1,19.51952,16,11,11,34,0
0,1,0,0,0,0,2,,,,,68,66,,1,,,14,11,,1
1,1,0,0,0,0,2,0,0,1,0,70,71,28,0,12.5,12,9,12,36,0
1,1,0,0,0,0,2,0,0,1,0,68,67,24,0,6.6964288,13,9,12,33,0
0,1,0,0,1,0,1,0,0,1,0,66,65,25,0,7,15,12,12,36,0
1,1,0,0,0,1,2,0,0,1,0,65,65,23,1,13.736263,12,,,37,0
0,1,0,0,1,0,3,0,0,1,0,64,64,28,0,8.8235292,13,16,12,32,1
0,1,0,0,0,0,5,0,0,0,1,67,66,26,1,,15,14,12,31,1
1,1,0,0,0,0,5,0,0,1,0,71,70,24,0,31.25,12,12,12,35,0
0,1,0,0,1,1,2,0,0,1,0,64,63,26,1,15.625,15,16,17,37,0
1,1,0,0,0,0,2,0,0,1,0,70,70,21,1,,12,12,12,35,1
0,1,0,0,0,0,2,0,0,1,0,66,66,23,0,,16,12,12,32,1
1,1,0,0,0,0,2,0,0,1,0,72,73,20,0,,12,,12,32,0
0,1,0,0,1,0,2,0,0,1,0,67,68,25,0,8.6538458,16,,17,32,0
1,1,0,0,0,0,2,0,0,1,0,69,,21,0,,9,14,10,34,0
0,1,0,0,0,0,2,0,0,1,0,63,65,21,0,,8,14,10,32,0
0,0,1,0,0,0,2,0,0,1,0,65,64,21,0,8.6538458,16,12,12,35,0
1,0,1,0,0,0,2,0,0,1,0,73,72,24,1,5.2884617,14,12,12,33,0
1,0,1,0,0,0,9,0,0,1,0,77,72,28,1,6.7307692,14,9,10,38,0
1,0,1,0,0,0,1,0,0,1,0,67,70,24,1,6.25,12,12,12,32,0
0,0,1,0,0,0,1,0,0,1,0,65,66,24,0,4.7619047,14,9,12,38,0
1,0,1,0,0,0,1,0,0,1,0,72,73,27,1,.82417583,13,9,12,33,0
1,0,1,0,0,0,4,0,0,1,0,68,71,21,0,6.3157897,12,12,10,32,0
0,0,1,0,0,0,4,0,0,1,0,60,60,26,0,9.6153851,16,13,12,37,0
1,0,1,0,0,0,4,0,0,1,0,64,64,25,0,22.496372,15,12,12,33,1
0,0,1,0,0,0,6,0,0,1,0,76,75,19,0,,9,5,12,31,0
0,1,0,0,0,0,0,0,0,1,0,60,60,21,0,15.384615,12,7,7,34,0
0,0,1,0,0,0,5,0,0,1,0,67,66,26,0,,11,0,0,38,0
0,0,1,0,0,0,7,,,,,66,65,27,0,,,6,12,,1
0,0,1,0,0,0,7,,,,,65,64,27,1,,,8,12,,5
1,1,0,0,0,0,3,0,1,0,0,72,72,21,0,6.7669172,12,,8,31,0
1,1,0,0,0,0,15,0,0,0,1,69,69,24,0,,14,0,12,37,0
0,1,0,0,1,0,5,0,0,1,0,61,62,21,0,,8,6,9,33,0
1,1,0,0,0,1,3,,,,,73,73,28,1,31.492249,16,,12,33,0
0,1,0,0,0,1,3,0,0,1,0,64,64,25,1,6.3461537,16,16,12,32,0
0,1,0,0,0,0,1,0,0,1,0,70,70,25,1,9.4017096,16,12,12,39,1
0,1,0,0,0,0,2,0,0,1,0,64,64,26,0,10.216346,12,7,12,33,0
1,1,0,0,0,1,6,0,0,1,0,67,67,28,1,5.9523811,12,,9,37,0
0,0,1,0,0,0,4,0,0,1,0,62,62,24,0,,12,12,10,35,1
1,1,0,0,0,1,4,0,0,1,0,71,71,28,1,,12,12,12,34,3
0,1,0,0,1,1,4,0,0,0,1,67,66,23,1,,16,12,12,34,1
1,1,0,0,0,1,4,0,0,1,0,71,71,28,1,9.1968117,16,11,11,39,2
0,1,0,0,0,0,3,0,0,1,0,65,63,22,0,4.5054946,12,7,10,38,1
0,0,1,0,0,0,1,0,0,1,0,65,63,22,0,,12,9,12,35,0
1,0,1,0,0,0,1,0,0,1,0,77,74,22,1,6.8376069,11,12,12,33,0
1,1,0,0,0,0,1,0,0,1,0,74,74,26,1,22.727272,15,17,14,31,0
1,1,0,0,0,0,3,0,0,1,0,67,67,28,0,33.333332,9,7,9,34,0
1,1,0,0,0,0,3,0,0,1,0,70,71,22,0,18.772894,8,8,8,33,0
1,1,0,0,0,0,1,0,0,1,0,72,72,17,0,11.800699,8,3,6,38,0
1,1,0,0,0,0,1,0,0,1,0,74,74,22,0,12.419871,12,3,6,33,0
1,1,0,0,0,1,2,0,0,1,0,73,72,20,0,19.23077,13,11,11,38,0
1,1,0,0,0,0,5,0,0,1,0,74,74,,1,16.826923,13,14,8,36,1
0,1,0,0,0,0,3,0,0,1,0,,66,,0,,12,12,8,39,0
0,1,0,0,0,1,2,0,0,1,0,63,63,24,1,15.625,17,12,12,34,2
0,1,0,0,1,1,1,0,0,1,0,64,63,26,0,,15,14,13,33,2
1,1,0,0,0,0,3,0,0,0,1,69,69,24,1,40.915211,16,8,12,38,0
0,1,0,0,0,0,3,1,0,0,0,63,64,22,0,11.98044,16,8,12,33,2
0,1,0,0,0,0,3,0,0,1,0,65,64,21,0,6.1813188,12,11,12,34,1
0,1,0,0,0,0,3,1,0,0,0,63,64,24,1,1.0212766,12,,12,,0
1,1,0,0,0,1,9,0,0,1,0,,80,22,1,5.8823528,9,8,9,33,0
1,1,0,0,0,0,8,0,0,1,0,,76,21,0,3.3653846,10,9,10,32,0
1,1,0,0,0,1,3,0,0,1,0,75,76,19,1,15.72327,16,20,16,,0
1,1,0,0,0,1,3,0,0,1,0,75,63,28,1,,18,20,16,,3
1,1,0,0,0,0,0,0,0,1,0,66,64,22,0,.38461539,12,0,8,36,0
0,1,0,0,0,0,3,0,0,1,0,65,65,21,1,19.23077,12,11,10,37,3
0,1,0,0,0,0,3,0,0,1,0,62,62,22,0,8.6538458,12,11,10,35,1
0,1,0,0,0,0,9,,,,,,67,,1,,,4,4,,2
1,1,0,0,0,0,2,0,0,1,0,70,70,26,0,6.8681316,8,9,6,38,0
1,1,0,0,0,0,3,0,1,0,0,73,73,22,1,5.7692308,13,8,12,36,0
0,1,0,0,0,0,2,0,0,1,0,64,64,22,0,5.8479533,12,,5,33,0
1,1,0,0,0,0,2,0,0,1,0,68,67,21,1,6.6889634,12,4,11,39,0
0,1,0,0,0,0,4,0,0,1,0,66,66,25,0,7.4183974,12,,8,37,0
1,1,0,0,0,0,4,0,0,1,0,74,73,25,0,3.75,9,3,9,36,0
0,1,0,0,0,0,1,0,0,1,0,60,62,28,0,6,13,7,12,35,0
0,1,0,0,0,0,8,0,0,1,0,65,65,26,1,43.47826,18,4,12,,2
1,1,0,0,0,0,3,0,0,1,0,76,76,21,0,14.957265,12,12,10,38,0
1,1,0,0,0,0,3,,,,,72,73,23,0,,,12,11,34,0
0,1,0,0,1,1,6,0,0,1,0,64,64,25,0,19.23077,15,12,12,34,2
0,1,0,0,1,0,0,,,,,62,63,20,0,,,7,,,3
1,1,0,0,0,0,2,0,0,1,0,74,74,23,1,13.716814,13,12,11,34,0
1,1,0,0,0,0,2,,,,,70,70,28,0,.12345679,13,12,11,33,0
1,1,0,0,0,0,2,0,0,1,0,70,70,21,0,8.8461542,12,12,11,31,0
0,1,0,0,0,1,2,0,0,1,0,66,66,22,0,22.727272,12,,12,37,1
1,1,0,0,0,0,1,0,0,1,0,71,70,25,0,18.26923,12,12,12,32,0
1,1,0,0,1,1,2,0,0,1,0,72,70,24,0,14.888337,12,14,12,39,2
1,1,0,0,0,1,2,0,0,1,0,74,74,21,1,36.734695,16,16,12,38,0
0,1,0,0,0,1,0,0,0,1,0,67,67,22,1,24.342106,16,16,12,33,2
1,1,0,0,0,0,3,0,0,1,0,72,72,22,0,12.019231,12,12,12,39,0
1,1,0,0,0,0,3,,,,,69,69,22,0,,,12,12,36,0
0,1,0,0,0,1,2,0,0,1,0,61,61,27,0,,18,16,14,38,1
0,1,0,0,0,0,4,0,0,1,0,64,64,25,1,7.2115383,12,8,11,39,1
0,1,0,0,0,1,1,0,0,1,0,61,60,21,0,168.77524,8,10,10,,0
0,1,0,0,0,1,1,0,0,1,0,66,66,25,0,19.23077,16,14,14,33,1
1,1,0,0,0,0,1,0,1,0,0,76,76,25,1,41.544674,16,12,12,37,0
1,1,0,0,1,1,8,,,,,71,71,21,1,,,20,14,,1
0,1,0,0,0,1,3,,,,,66,,20,,,,11,9,,
0,1,0,0,0,1,7,0,0,1,0,64,64,23,1,14.16309,12,16,12,38,1
1,1,0,0,0,1,7,1,0,0,0,74,74,25,1,10.470085,16,16,12,36,1
1,1,0,0,0,0,7,0,0,1,0,73,72,24,1,9.6296301,16,16,12,35,2
1,1,0,0,0,0,3,0,0,1,0,74,74,23,0,22.727272,12,11,11,35,0
0,1,0,0,0,0,3,0,0,1,0,60,60,,0,,12,11,11,32,0
1,1,0,0,0,1,4,0,0,1,0,70,70,26,0,,12,16,14,35,0
1,1,0,0,0,1,4,0,0,1,0,66,66,23,0,11.401425,16,16,14,34,0
1,1,0,0,1,0,2,,,,,72,71,22,1,,,16,16,,1
0,1,0,0,0,0,2,0,0,1,0,62,63,25,1,16.483517,16,16,16,33,3
0,0,1,0,0,0,3,0,0,1,0,70,70,,0,9.2307692,15,,11,38,1
0,0,1,0,0,0,5,0,0,1,0,64,64,28,0,2.8735633,16,,10,38,0
0,0,1,0,0,0,5,0,0,1,0,66,66,21,0,8.1896553,15,,10,36,0
0,0,1,0,0,0,5,0,0,1,0,62,63,21,0,15.865385,15,,10,34,0
1,0,1,0,0,0,3,0,0,1,0,72,74,17,0,8.8942308,15,11,12,32,1
0,0,1,0,0,0,9,,,,,66,65,26,0,,,9,8,34,1
0,0,1,0,0,0,7,0,0,1,0,69,69,26,0,,12,12,12,32,1
0,0,1,0,0,0,5,,,,,69,69,24,0,,,8,12,38,0
1,0,1,0,0,0,9,0,0,1,0,69,69,28,0,24.038462,10,10,12,34,0
1,0,1,0,0,0,9,0,0,1,0,67,67,26,1,5.2884617,12,10,12,33,1
0,0,1,0,1,0,4,0,0,1,0,60,60,28,0,12.121212,13,10,12,32,4
1,0,1,0,0,0,4,0,0,1,0,68,68,24,1,11.538462,12,12,14,35,0
1,0,1,0,0,0,11,0,0,1,0,70,73,24,0,,12,,10,35,0
0,0,1,0,0,0,11,,,,,70,66,18,0,,,,10,,0
0,0,1,0,0,0,3,0,0,0,1,64,64,26,1,,16,12,12,32,1
1,0,1,0,0,0,3,0,0,1,0,74,74,22,1,,12,12,12,32,0
0,0,1,0,0,0,4,0,0,1,0,65,65,20,0,,10,3,3,38,0
0,1,0,0,0,0,5,0,0,1,0,59,59,21,0,5.8263307,7,10,6,38,0
1,1,0,0,0,1,3,0,0,1,0,73,73,25,0,13.782051,13,16,12,37,1
0,1,0,0,0,0,4,0,0,1,0,66,66,26,1,13.736263,15,10,11,36,1
0,1,0,0,0,0,0,1,0,0,0,62,63,28,1,8.152174,20,12,12,33,3
1,1,0,0,0,0,1,0,0,1,0,73,74,22,0,14.423077,12,10,12,32,0
1,1,0,0,1,1,7,0,0,1,0,72,72,21,0,13.846154,12,8,8,39,1
0,1,0,0,0,0,5,0,0,1,0,63,62,28,0,,16,12,12,36,1
0,0,0,1,0,0,2,0,0,1,0,61,62,21,1,13.942307,14,16,10,33,3
0,0,0,1,0,0,6,0,0,1,0,65,60,19,0,,8,,6,,0
0,0,0,1,0,0,4,0,0,1,0,55,57,21,0,11.111111,8,,2,,0
0,0,0,1,0,0,1,0,0,1,0,62,62,28,0,21.39423,17,,13,32,2
1,0,0,1,0,0,5,,,,,69,,,0,,,11,12,36,0
1,0,0,1,0,0,5,0,0,1,0,64,65,,0,10.683761,14,10,12,33,1
1,0,0,1,0,0,1,0,0,1,0,68,68,20,1,,9,,12,,0
0,0,0,1,0,0,5,0,0,1,0,64,64,21,0,10.294118,13,,,35,0
0,1,0,0,0,0,1,,,,,,,24,,,,13,12,,
1,1,0,0,0,1,3,0,0,1,0,70,70,23,0,26.923077,14,16,12,33,0
0,1,0,0,0,0,2,0,0,1,0,61,61,25,0,4.4217687,12,11,,31,1
0,1,0,0,1,0,2,0,0,1,0,65,64,23,1,20.192308,12,12,11,35,1
0,1,0,0,0,0,3,0,0,1,0,62,62,20,0,3.9603961,14,7,9,34,2
0,1,0,0,0,0,7,0,0,1,0,65,64,24,0,2.8846154,12,12,11,34,1
1,0,0,1,0,0,6,0,0,1,0,66,66,22,0,6.7307692,11,8,9,38,1
0,0,0,1,1,0,5,0,0,1,0,62,62,22,0,,8,7,8,36,0
0,0,0,1,0,0,10,0,0,1,0,59,59,21,0,,12,8,,36,0
0,1,0,0,0,0,4,0,0,1,0,62,62,22,0,19.444445,9,12,9,34,0
1,1,0,0,1,0,4,0,0,1,0,68,70,27,0,9.1346149,12,12,9,31,0
1,0,0,1,0,0,2,0,0,1,0,69,71,24,0,5.4487181,12,12,9,31,1
0,0,0,1,0,0,2,0,0,1,0,63,63,19,0,,12,10,9,35,0
1,1,0,0,0,0,2,0,0,1,0,76,75,23,0,5.8823528,8,12,12,,0
0,1,0,0,0,0,2,,,,,66,,20,,,,12,12,,
0,1,0,0,0,1,2,,,,,60,59,23,0,,,12,12,,0
0,1,0,0,0,0,3,0,0,1,0,63,64,22,1,9.5192308,12,10,10,38,3
1,1,0,0,0,1,4,,,,,,,22,1,,,12,13,,0
1,1,0,0,0,0,2,0,0,1,0,70,71,26,0,62.5,12,14,12,33,3
0,1,0,0,0,0,1,0,0,1,0,66,65,25,0,16.161539,12,15,13,34,1
0,1,0,0,0,1,2,0,0,1,0,64,65,21,1,23.076923,14,20,16,32,0
1,1,0,0,0,0,2,1,0,0,0,68,,20,0,0,12,16,12,,1
1,1,0,0,0,0,3,0,0,1,0,69,69,25,1,9.7042513,16,20,10,38,0
1,1,0,0,0,1,3,0,0,1,0,69,69,28,1,23.798077,16,20,10,35,1
1,1,0,0,0,0,3,,,,,71,71,23,,,,12,12,,
1,0,1,0,0,0,2,0,0,1,0,65,65,22,1,11.363636,16,12,11,35,0
1,0,1,0,0,0,2,0,0,1,0,69,69,24,1,12.33672,17,12,11,33,0
1,1,0,0,0,0,5,0,0,0,1,71,73,25,1,,11,4,6,34,0
0,0,1,0,0,0,4,0,0,1,0,62,62,26,0,6.25,12,,11,36,0
0,0,1,0,0,0,6,0,0,1,0,63,66,21,0,,11,4,11,34,0
0,0,1,0,0,0,6,0,0,1,0,61,62,27,0,,10,4,11,,0
0,0,1,0,0,0,2,0,0,1,0,67,65,23,0,,12,9,10,33,1
0,0,1,0,0,0,2,0,0,1,0,62,62,21,1,,14,9,10,34,0
0,0,1,0,0,0,6,0,0,1,0,65,63,26,0,,13,9,11,33,1
0,0,0,1,0,0,5,0,0,1,0,59,59,21,0,7.3076925,7,,6,33,0
0,0,0,1,0,0,3,0,0,1,0,62,62,19,0,8.0769234,12,,8,32,0
0,1,0,0,0,0,2,0,0,1,0,66,66,22,1,3.9087949,12,,12,33,0
0,0,0,1,0,0,2,0,0,1,0,62,62,28,0,21.538462,13,11,10,34,0
0,0,0,1,0,0,2,,,,,59,59,26,0,,,11,10,,1
0,0,1,0,0,0,2,0,0,1,0,,63,25,0,9.1374273,12,,12,32,0
1,1,0,0,0,1,0,,,,,69,69,24,1,,,11,12,,0
1,0,1,0,0,0,6,,,,,74,73,,0,,,,7,,1
1,0,0,1,0,0,8,,,,,66,66,20,0,,,,,,0
1,0,0,1,0,0,8,0,0,1,0,67,67,22,0,7.1153846,9,,,34,0
0,0,0,1,0,0,8,,,,,61,61,22,0,,,,,33,0
1,0,0,1,0,0,9,0,0,1,0,68,68,20,0,7.6121793,8,6,6,,0
1,1,0,0,0,0,3,,,,,,71,19,0,,,16,12,34,0
0,0,0,1,0,0,3,0,0,1,0,65,65,18,1,9.375,12,7,9,32,2
0,1,0,0,0,0,7,0,0,1,0,62,62,22,0,,7,12,4,39,0
1,1,0,0,0,0,2,0,0,1,0,69,71,21,0,4.8076925,12,11,12,,0
1,1,0,0,0,1,2,,,,,,68,24,,,,10,12,,
1,1,0,0,0,1,2,0,0,1,0,73,73,28,0,9.6153851,12,12,,37,0
0,1,0,0,1,0,8,0,0,1,0,64,64,21,0,7.2992702,13,6,7,32,0
0,1,0,0,0,0,6,,,,,71,73,27,0,,,12,14,,1
1,1,0,0,0,0,4,0,1,0,0,67,67,22,1,,13,10,,,2
1,1,0,0,0,0,1,0,0,1,0,73,73,25,0,14.814815,12,10,10,39,0
0,1,0,0,0,0,2,,,,,65,65,21,0,,,12,12,,0
1,1,0,0,0,0,4,0,0,1,0,,71,,0,7.5,12,,7,32,0
0,1,0,0,0,1,4,0,1,0,0,62,62,17,0,4.4943819,8,,10,32,0
1,1,0,0,0,0,3,0,0,1,0,69,,21,1,,12,,12,32,0
0,1,0,0,0,0,9,0,0,1,0,62,62,21,0,3.9423077,7,,,36,0
1,1,0,0,0,0,3,0,0,1,0,70,70,28,0,13.043478,12,7,12,38,0
0,1,0,0,0,0,3,0,0,1,0,62,62,21,0,6.4000001,9,,,38,0
0,1,0,0,0,0,3,0,0,1,0,64,64,26,0,5.3846154,16,12,11,35,0
1,1,0,0,0,0,4,0,0,1,0,65,66,28,,6.1448898,8,6,10,38,
0,1,0,0,0,0,1,,,,,59,59,21,0,,,8,10,,1
1,1,0,0,0,0,3,0,0,1,0,74,74,,1,9.3406591,12,16,12,35,0
0,1,0,0,0,0,3,0,0,1,0,61,61,28,0,,14,12,12,38,1
1,1,0,0,1,1,2,,,,,70,70,21,,,,16,17,,
1,1,0,0,0,0,0,0,0,1,0,73,,26,0,15.384615,13,,9,32,0
1,1,0,0,1,1,4,0,0,1,0,70,70,25,1,9.4420605,16,12,12,37,0
0,1,0,0,0,1,2,,,,,64,,19,,,,16,,,
1,1,0,0,0,1,2,0,0,1,0,73,73,28,0,12.587413,18,17,13,34,3
1,0,1,0,0,0,6,0,0,1,0,69,66,27,0,6.9230771,14,,,37,1
1,0,1,0,0,1,3,0,0,1,0,73,73,27,1,16.402716,16,8,12,38,0
0,0,1,0,0,0,1,0,0,1,0,64,64,20,1,17.560043,13,,4,37,1
0,0,1,0,0,0,2,0,0,1,0,57,53,21,0,3.5942492,12,,,32,0
0,0,1,0,0,0,1,0,0,1,0,62,62,21,0,17,12,12,7,35,0
1,0,1,0,0,0,-1,0,0,1,0,73,73,20,0,,11,,,39,1
1,0,1,0,0,0,2,0,0,1,0,72,73,24,1,15.384615,12,10,12,37,1
0,0,1,0,0,0,3,0,0,1,0,71,70,23,0,11.063829,13,18,12,33,0
1,0,1,0,0,0,7,0,0,1,0,76,76,22,1,200,12,,,38,0
0,0,1,0,0,1,2,,,,,66,66,22,0,,,12,11,,0
0,0,1,0,0,0,3,0,0,1,0,61,61,21,0,10.769231,12,11,10,32,1
0,0,1,0,0,0,1,0,0,1,0,64,64,23,1,6.5865383,13,14,10,34,1
1,1,0,0,0,1,1,0,0,1,0,72,72,24,0,10.416667,14,10,12,39,2
0,1,0,0,0,0,2,0,0,1,0,63,63,21,0,,12,12,12,32,1
0,1,0,0,0,0,3,0,0,1,0,66,66,,0,7.3070607,13,9,12,36,2
0,1,0,0,0,0,3,0,0,1,0,,60,20,0,12.393163,12,5,9,38,0
1,1,0,0,0,1,1,0,0,1,0,73,73,24,0,16.153847,16,12,12,35,0
0,1,0,0,0,0,1,,,,,64,65,21,0,,,12,12,38,1
0,1,0,0,0,0,2,0,0,1,0,65,64,,0,8.5192699,12,18,12,33,1
0,1,0,0,0,1,2,0,0,1,0,66,66,24,0,5.9760957,12,15,14,39,1
1,1,0,0,0,0,1,0,0,1,0,73,73,,0,17.307692,12,9,6,36,0
1,1,0,0,0,1,3,0,0,1,0,72,74,27,0,21.875,17,16,16,33,2
0,1,0,0,0,1,3,0,0,1,0,67,66,23,1,14.285714,16,16,16,32,3
1,1,0,0,1,1,1,0,0,1,0,67,70,20,0,10.18868,20,18,16,32,1
1,1,0,0,1,0,2,0,0,1,0,68,68,27,0,54.008076,18,,15,38,0
1,1,0,0,1,0,1,0,0,1,0,69,69,25,1,10.576923,15,14,18,37,1
1,1,0,0,0,1,3,0,0,1,0,72,73,27,0,15.463918,12,19,12,36,1
0,1,0,0,1,1,3,0,0,1,0,65,66,25,0,7.821229,12,16,14,35,1
1,1,0,0,0,0,3,0,0,1,0,68,68,26,0,13.337469,14,16,14,32,3
1,1,0,0,0,0,1,0,0,0,1,72,72,28,0,5.8823528,17,12,13,37,2
0,1,0,0,1,0,2,0,0,1,0,67,67,21,0,8.6206894,16,14,12,32,0
0,1,0,0,1,0,2,0,0,1,0,65,66,22,1,10.288462,18,14,12,35,3
0,1,0,0,0,0,2,0,0,1,0,62,62,28,1,1.0714285,15,13,16,35,2
1,1,0,0,0,0,2,0,0,1,0,72,72,25,0,0,12,14,16,34,0
0,1,0,0,0,0,2,0,0,1,0,66,64,22,1,15.192307,12,12,12,36,1
1,1,0,0,0,0,2,0,0,1,0,71,71,24,0,19.23077,12,11,12,34,1
0,0,1,0,0,0,6,0,0,1,0,65,65,21,0,7.6684523,12,6,11,39,1
0,0,1,0,0,0,2,0,0,1,0,62,62,28,0,7.6923075,12,12,8,35,0
1,0,1,0,0,0,2,0,0,1,0,71,74,22,0,,12,12,,34,2
0,0,1,0,0,0,5,0,0,1,0,65,65,23,0,11.057693,12,7,7,,0
1,0,1,0,0,0,6,0,0,1,0,65,64,21,0,10.096154,12,9,,39,0
1,0,1,0,0,0,6,0,0,1,0,68,68,28,1,7.6923075,12,10,12,35,1
0,0,1,0,0,0,6,0,0,1,0,66,66,26,0,12.5,16,10,11,37,0
1,0,1,0,0,0,6,0,0,1,0,67,67,,0,9.6153851,12,8,12,31,0
0,0,1,0,0,0,3,0,0,1,0,62,62,23,0,,9,,,34,0
0,1,0,0,0,0,2,0,0,1,0,63,65,22,0,,12,,11,35,0
1,1,0,0,0,0,9,0,1,0,0,70,71,26,0,19.117647,13,16,12,38,0
1,0,1,0,0,0,6,0,0,1,0,68,68,21,0,9.6153851,12,10,11,39,0
1,0,1,0,0,0,7,0,0,0,1,66,66,20,0,4.1666665,12,9,,36,0
0,0,1,0,0,0,4,0,0,1,0,66,66,24,,9.4444447,13,12,6,35,
0,0,1,0,0,0,4,0,0,1,0,68,69,21,0,7.6923075,15,12,6,31,1
0,1,0,0,0,0,3,0,0,1,0,64,65,20,0,10.096154,12,12,13,34,0
0,1,0,0,0,0,3,0,0,1,0,65,65,25,0,5.3921571,12,9,12,32,0
0,0,0,1,0,0,4,0,0,0,1,66,66,24,0,8.1129808,12,,4,33,0
0,0,0,1,0,0,9,0,0,0,1,58,59,26,1,11.057693,12,10,12,36,0
1,0,0,1,0,0,9,,,,,64,64,21,0,,,10,12,,0
1,0,0,1,0,0,9,,,,,64,64,21,0,,,10,12,,0
1,0,0,1,1,0,5,,,,,67,67,,0,,,10,8,,0
0,0,0,1,1,0,4,0,0,0,1,62,62,28,0,,18,8,13,33,2
0,1,0,0,0,0,3,0,0,0,1,63,64,22,1,6.2087913,12,10,12,37,0
0,0,0,1,0,0,4,0,0,0,1,67,68,22,1,12.5,16,6,6,33,0
0,1,0,0,0,1,4,0,0,0,1,65,64,28,0,1.4527845,12,9,12,35,0
1,1,0,0,0,1,4,0,0,1,0,68,68,22,0,,10,7,12,34,0
1,1,0,0,0,0,4,0,0,1,0,62,,21,0,9.4339619,10,10,12,33,0
0,1,0,0,0,1,3,0,1,0,0,63,63,26,0,0,12,11,11,34,0
1,1,0,0,0,1,4,0,0,0,1,68,68,22,1,50,12,14,12,36,1
0,1,0,0,0,0,3,0,0,1,0,66,64,21,0,3.6401675,12,12,10,36,0
1,1,0,0,0,0,5,0,0,0,1,72,73,23,1,13.389121,11,13,12,36,0
0,1,0,0,0,0,1,0,0,0,1,64,64,22,0,12.019231,10,10,10,35,0
0,1,0,0,1,0,6,0,0,0,1,65,65,23,0,.060790274,12,8,11,35,0
0,1,0,0,0,0,3,,,,,67,,28,0,,,12,12,,1
0,1,0,0,0,0,1,0,0,0,1,66,67,26,0,11.485452,12,10,9,38,1
0,1,0,0,0,0,3,0,0,0,1,66,66,23,0,4.2643924,15,12,10,39,0
0,1,0,0,0,0,4,0,0,0,1,63,63,26,0,7.4829931,12,10,12,36,1
1,1,0,0,0,1,4,0,0,1,0,71,71,28,0,22.115385,12,14,12,36,0
1,1,0,0,0,1,4,0,1,0,0,73,73,23,0,10.092308,14,14,12,35,0
1,1,0,0,0,1,4,0,0,0,1,73,74,28,1,8.5966349,12,14,12,33,1
1,1,0,0,0,0,3,0,1,0,0,70,72,19,1,11.675824,12,14,12,34,0
0,1,0,0,0,0,3,0,0,0,1,66,66,23,0,,14,14,12,33,0
0,1,0,0,0,0,3,0,0,0,1,61,61,21,0,,12,10,11,37,1
1,1,0,0,0,0,1,0,0,0,1,64,64,20,0,,12,18,12,34,0
1,0,0,1,1,0,0,,,,,69,70,23,1,,,,16,,0
0,1,0,0,1,1,1,,,,,67,68,23,1,,,12,12,,1
1,1,0,0,1,1,6,,,,,72,72,21,0,,,8,15,,0
0,1,0,0,0,1,2,0,0,0,1,66,67,23,0,62.549019,16,14,13,36,2
1,1,0,0,0,1,2,0,0,0,1,73,74,25,0,5.1282053,18,14,13,33,1
0,1,0,0,1,0,2,0,0,1,0,66,66,28,0,24.038462,12,8,15,35,0
1,1,0,0,0,0,4,,,,,74,74,28,,,,13,12,38,
