male,white,black,hispanic,mompro2,poppro2,siblings,norest96,norcen96,south96,west96,height81,height85,esteem80,athlets,wage96,hgc96,daded79,momed79,age,clubnum
1,1,0,0,0,0,3,1,0,0,0,73,73,23,0,11.538462,14,16,16,32,1
0,1,0,0,1,1,1,1,0,0,0,63,63,22,1,24.428274,16,16,16,32,3
0,1,0,0,0,1,2,1,0,0,0,64,64,25,1,,16,18,16,39,1
1,1,0,0,0,1,2,1,0,0,0,71,72,26,1,,18,18,16,36,4
1,1,0,0,1,1,5,0,0,0,1,67,68,26,,6.5934067,17,20,14,32,
1,1,0,0,0,1,5,1,0,0,0,69,71,23,,4.2678046,19,20,12,31,
1,0,1,0,0,0,6,1,0,0,0,71,68,24,,5.2272725,12,,,37,
1,0,1,0,0,0,3,1,0,0,0,71,73,21,0,,10,,6,35,0
1,0,1,0,0,0,3,1,0,0,0,68,68,21,0,1.2857143,12,12,,33,0
1,0,1,0,0,0,7,,,,,66,64,25,1,,,11,11,37,0
0,0,1,0,0,0,7,1,0,0,0,61,59,25,0,6.0790272,9,9,9,35,0
1,0,1,0,0,0,7,1,0,0,0,68,68,24,,1.2738854,12,12,11,33,
1,0,1,0,0,0,1,1,0,0,0,72,72,28,1,55.528847,16,12,12,39,2
0,0,1,0,0,0,8,1,0,0,0,67,67,25,0,19.711538,16,12,12,37,0
1,1,0,0,0,0,2,1,0,0,0,71,72,27,1,30.76923,16,4,5,37,0
0,1,0,0,0,0,2,1,0,0,0,67,67,22,1,16.346153,16,3,5,32,0
0,1,0,0,0,0,1,1,0,0,0,59,59,25,1,6.1919503,12,12,12,33,1
1,1,0,0,0,0,1,0,1,0,0,69,70,26,0,8.4615383,12,,,31,0
1,1,0,0,0,0,2,1,0,0,0,68,68,24,0,12.980769,10,10,10,,0
0,1,0,0,0,0,2,1,0,0,0,65,65,21,0,10.396976,12,,10,35,0
0,1,0,0,0,0,2,1,0,0,0,64,64,21,0,11.057693,12,,6,34,2
0,1,0,0,0,0,7,1,0,0,0,66,67,23,0,22.836538,12,11,12,38,0
0,1,0,0,1,0,2,1,0,0,0,63,64,26,1,,13,14,17,38,0
0,1,0,0,0,1,1,1,0,0,0,,64,25,,2.2222223,14,16,12,38,
0,1,0,0,0,0,2,1,0,0,0,64,66,23,,15.451472,12,,,32,
1,1,0,0,0,0,1,1,0,0,0,66,66,26,1,21.079882,19,6,10,37,0
0,1,0,0,0,0,1,1,0,0,0,61,62,24,1,,16,5,10,32,0
1,1,0,0,0,0,2,0,0,1,0,71,71,23,1,22.058823,18,,11,37,1
0,1,0,0,0,0,0,1,0,0,0,69,,27,0,21.634615,12,,12,37,1
0,1,0,0,0,0,0,1,0,0,0,67,67,22,0,14.835165,12,12,12,37,2
1,1,0,0,0,0,1,1,0,0,0,70,68,22,0,25.48077,16,9,12,35,0
1,1,0,0,0,1,2,1,0,0,0,69,70,25,0,18.191269,16,9,11,34,1
1,1,0,0,0,1,2,1,0,0,0,68,68,24,1,5.7692308,20,8,11,37,0
0,1,0,0,0,0,2,1,0,0,0,67,67,23,0,20.945946,12,,,,1
1,1,0,0,0,0,3,1,0,0,0,72,72,21,1,22.836538,13,12,,39,4
0,1,0,0,0,0,3,1,0,0,0,60,60,25,0,30.21978,12,10,11,37,0
0,1,0,0,0,0,3,1,0,0,0,68,68,22,1,2.7746947,11,8,12,32,0
1,1,0,0,0,0,3,,,,,70,70,20,0,,,,,,0
1,1,0,0,0,0,3,,,,,70,70,26,0,,,7,6,,0
0,1,0,0,0,0,2,,,,,66,66,28,1,,,12,10,,0
0,1,0,0,0,1,2,,,,,67,,25,1,,,12,10,,2
1,1,0,0,0,0,2,1,0,0,0,71,71,28,1,23.846153,15,12,10,36,1
0,1,0,0,0,0,2,1,0,0,0,68,69,20,0,11.252046,9,8,,34,0
1,1,0,0,0,0,2,1,0,0,0,70,71,26,0,2.195122,16,8,11,39,0
1,1,0,0,0,0,2,1,0,0,0,72,72,21,1,48.893105,16,12,16,34,5
0,1,0,0,0,0,2,1,0,0,0,65,65,28,1,8.4905663,17,15,17,31,1
1,1,0,0,0,0,1,1,0,0,0,72,73,23,1,15,12,10,11,34,0
1,1,0,0,0,1,1,,,,,70,71,21,1,,,16,16,,0
0,1,0,0,0,1,7,1,0,0,0,61,61,21,0,3.1746032,15,14,14,35,0
1,1,0,0,0,1,7,1,0,0,0,71,71,26,0,,13,14,12,39,0
1,1,0,0,0,1,7,1,0,0,0,72,72,24,0,15.162722,14,15,14,37,0
1,1,0,0,0,0,1,,,,,69,69,19,0,,,12,12,,0
0,1,0,0,0,1,-3,,,,,61,61,27,1,,,12,10,38,0
1,1,0,0,0,1,3,1,0,0,0,70,70,28,1,21.521336,16,14,13,35,2
0,1,0,0,0,0,7,,,,,,,20,,,,,0,,
0,1,0,0,0,0,10,,,,,,,20,,,,15,13,,
0,1,0,0,0,0,5,,,,,,,,,,,14,,,
0,1,0,0,0,0,4,1,0,0,0,64,63,25,0,21.829521,12,11,10,33,0
1,1,0,0,0,0,5,1,0,0,0,69,69,25,0,22.727272,12,12,9,35,0
1,1,0,0,0,0,5,1,0,0,0,67,67,21,0,15.384615,16,12,9,31,0
0,1,0,0,0,0,1,1,0,0,0,,60,28,0,,12,12,,38,0
