itn,education,age,rural,pregnant,infant,malmessage,altitude,household
1,10,19,1,1,0,1,1.166,109
0,13,34,1,0,0,1,1.166,110
1,10,16,1,0,0,0,1.166,110
1,11,17,1,0,0,1,1.166,110
1,10,43,1,0,0,1,1.166,111
1,6,34,1,0,0,0,1.166,112
0,4,33,1,0,0,1,1.166,113
1,10,17,1,0,0,0,1.166,113
1,10,35,0,0,0,1,1.095,114
0,3,15,0,0,0,0,1.095,115
1,9,21,0,0,0,0,1.095,116
1,9,34,0,0,1,1,1.095,117
1,6,36,0,0,0,1,1.095,118
0,6,39,0,0,0,1,1.095,119
0,6,17,0,0,0,0,1.095,119
1,0,28,0,0,0,1,1.095,120
1,7,25,0,0,0,1,1.095,121
1,9,45,0,0,0,1,1.095,122
1,10,42,1,0,0,1,1.163,123
1,7,43,1,0,0,0,1.163,124
1,9,15,1,0,0,0,1.163,124
1,11,25,1,0,1,1,1.213,125
0,0,25,1,0,1,0,1.213,126
0,7,17,1,0,0,1,1.213,126
0,7,19,1,0,0,0,1.213,127
0,9,23,1,0,1,1,1.213,128
1,0,33,1,0,0,1,1.213,129
1,2,22,1,0,0,0,1.213,130
0,13,25,1,0,0,1,1.201,131
1,9,15,1,0,0,0,1.201,131
1,11,18,1,0,1,0,1.201,131
1,0,26,1,0,0,0,1.201,132
0,6,19,1,0,0,0,1.201,133
1,7,35,1,0,0,1,1.201,134
0,7,15,1,0,0,1,1.201,134
0,7,24,1,0,1,0,1.11,135
1,7,39,1,0,0,1,1.11,136
0,5,45,1,0,0,0,1.11,137
1,0,19,1,0,1,0,1.11,137
1,8,20,1,0,0,0,1.11,138
1,6,28,1,0,1,1,1.11,139
1,8,39,1,0,0,1,1.282,140
0,13,23,1,0,0,1,1.282,141
1,15,31,1,0,0,1,1.282,142
1,3,39,1,0,0,0,1.174,143
1,11,27,1,0,0,1,1.298,144
0,5,32,1,1,1,1,1.334,145
1,11,25,1,0,0,1,1.334,146
1,6,36,1,0,0,1,1.263,147
1,11,22,1,0,0,1,1.263,147
1,16,24,1,0,0,1,1.263,147
1,13,24,1,0,0,1,1.263,148
1,8,35,1,0,0,1,1.263,149
0,7,15,1,0,0,0,1.263,149
1,4,46,1,0,0,0,1.263,150
0,8,15,1,0,0,0,1.263,150
0,11,22,1,0,0,1,1.263,150
0,11,23,1,0,0,1,1.263,151
1,6,43,1,0,0,1,1.254,152
0,9,15,1,0,0,1,1.254,152
1,9,20,1,1,0,0,1.145,153
1,2,38,1,0,0,0,1.145,154
1,4,42,1,0,0,0,1.145,155
1,8,24,1,0,0,0,1.145,156
1,7,46,1,0,0,1,1.145,157
1,0,45,1,0,0,1,1.145,158
1,9,19,1,0,0,0,1.145,159
1,5,45,1,0,0,1,1.145,160
0,6,17,1,0,0,1,1.145,160
0,5,16,1,0,0,0,1.145,160
1,5,27,1,0,0,0,1.158,161
1,9,35,1,0,0,1,1.158,162
1,6,21,1,0,1,0,1.158,163
1,4,40,1,1,0,1,1.158,164
1,9,22,1,0,0,1,1.158,165
1,7,17,1,0,1,0,1.091,166
1,6,22,1,0,0,1,1.091,167
1,0,40,1,0,0,0,1.091,168
0,0,24,1,0,1,0,1.157,169
1,0,31,1,0,1,0,1.157,170
1,3,27,1,0,0,1,1.157,171
1,0,30,1,0,0,0,1.048,172
1,4,20,1,0,0,1,1.048,173
1,3,49,1,0,0,1,1.048,174
1,0,22,1,0,0,0,1.048,175
1,3,44,1,0,1,1,1.048,176
1,8,18,1,0,0,0,1.048,177
0,4,27,1,1,0,0,1.158,178
1,0,33,1,0,1,0,1.158,179
1,6,16,1,0,1,0,1.158,180
1,6,36,1,0,1,1,1.158,181
1,5,34,1,0,0,1,1.158,182
1,5,35,1,0,0,0,1.158,183
1,4,37,1,1,0,1,1.158,184
1,6,31,1,0,0,0,1.158,185
1,6,26,1,1,0,1,1.158,186
0,6,20,1,0,0,1,1.158,187
0,0,45,1,0,0,0,1.141,188
1,3,43,1,0,0,1,1.141,188
1,6,30,1,1,0,1,1.141,189
1,1,33,1,0,0,0,1.141,190
0,0,33,1,0,0,1,1.141,191
0,2,27,1,1,0,0,1.141,192
1,0,18,1,0,0,0,1.141,193
1,3,27,1,1,1,0,1.141,194
0,0,30,1,0,1,1,1.141,195
1,5,34,1,1,0,1,1.141,196
1,0,40,1,0,0,1,1.2,197
1,9,20,1,0,1,0,1.2,198
0,6,15,1,0,0,1,1.2,198
0,6,36,1,0,0,1,1.2,199
0,0,49,1,0,0,0,1.2,199
0,16,35,1,0,0,1,1.2,200
1,7,27,1,0,0,1,1.2,201
1,6,30,1,0,0,0,1.2,202
0,6,34,1,0,1,0,1.2,203
0,10,24,1,1,0,1,1.2,203
0,6,15,1,0,0,0,1.2,203
0,6,40,1,0,0,1,1.2,204
0,3,36,1,0,1,0,1.2,205
1,5,17,1,0,0,0,1.2,205
1,7,33,1,0,0,1,1.2,206
1,11,32,1,0,0,1,1.2,207
1,7,19,1,0,0,0,1.097,208
1,5,47,1,0,0,1,1.097,209
0,10,16,1,0,0,1,1.097,209
1,0,19,1,0,1,0,1.097,209
1,5,23,1,0,1,0,1.097,210
1,6,18,1,0,0,0,1.097,211
1,6,47,1,0,0,1,1.097,212
0,3,42,1,0,0,1,1.097,213
1,4,19,1,0,0,0,1.097,213
0,3,29,1,0,1,0,1.097,214
0,6,15,1,0,0,0,1.097,214
1,7,21,1,0,0,1,1.097,215
1,0,21,1,0,0,0,1.097,216
1,7,30,1,0,0,1,1.097,217
1,7,19,1,0,1,0,1.102,218
0,11,23,1,0,0,1,1.102,219
0,11,20,1,0,0,1,1.102,219
1,9,30,1,1,0,0,1.102,220
1,7,20,1,0,0,1,1.102,220
0,5,33,1,0,0,0,1.102,220
1,9,23,1,0,0,0,1.155,221
1,4,28,1,0,0,0,1.155,222
1,0,24,1,0,0,1,1.155,223
1,10,25,1,0,1,0,1.155,224
0,6,16,1,0,0,0,1.155,224
0,11,23,1,0,0,1,1.155,225
1,2,47,1,0,0,0,1.155,226
1,6,37,1,1,1,0,1.155,227
1,0,25,1,0,0,0,1.155,228
1,6,30,1,0,0,1,1.144,229
1,1,22,1,1,0,1,1.144,230
1,7,16,1,0,1,0,1.144,231
1,6,27,1,0,0,1,1.144,232
1,7,29,1,1,0,1,1.144,233
1,0,18,1,1,0,0,1.144,234
1,6,20,1,0,0,0,1.144,235
1,9,23,1,0,1,0,1.144,236
0,4,34,1,0,0,0,1.144,237
1,4,48,1,0,0,1,1.144,238
0,5,32,1,0,0,0,1.144,238
1,3,23,1,0,1,0,1.144,239
1,6,34,1,1,0,1,1.144,240
1,3,43,1,0,0,1,1.144,241
1,10,28,1,0,1,1,1.144,242
0,7,48,1,0,0,1,1.219,243
1,8,29,1,0,0,0,1.219,244
1,10,29,1,0,0,1,1.219,245
1,15,25,1,0,0,1,1.219,246
1,4,28,1,0,1,0,1.142,247
1,9,21,1,1,0,1,1.142,248
1,0,29,1,0,0,1,1.142,249
0,11,22,1,0,1,1,1.142,250
1,6,30,1,1,0,1,1.139,251
1,7,26,1,1,0,1,1.139,252
1,6,23,1,0,1,1,1.139,253
1,13,27,1,0,0,1,1.139,254
1,4,26,1,0,0,1,1.139,255
1,0,37,1,0,0,0,1.139,256
0,3,42,1,0,0,1,1.139,257
1,5,28,0,0,1,0,1.127,258
1,0,28,0,0,0,1,1.127,259
1,10,20,0,0,0,1,1.127,260
1,11,20,0,0,0,1,1.127,261
1,0,36,0,0,0,1,1.127,262
1,8,20,0,1,0,1,1.127,263
1,10,23,0,0,0,1,1.127,264
1,7,40,0,0,0,1,1.127,265
0,6,23,1,0,1,0,1.058,266
0,0,32,1,0,0,1,1.058,267
1,0,22,1,0,1,1,1.058,268
1,3,20,1,0,0,1,1.136,269
1,6,23,1,1,0,1,1.136,270
1,8,22,1,0,0,1,1.136,271
0,7,44,1,0,0,1,1.051,272
0,5,19,1,0,0,0,1.051,272
0,10,23,1,0,1,1,1.051,273
0,3,25,1,0,0,1,1.051,274
1,10,29,1,0,0,1,1.051,275
1,8,19,1,1,0,1,1.099,276
0,7,23,1,0,0,1,1.099,277
1,8,31,1,0,1,1,1.099,278
1,7,30,1,0,0,1,1.099,279
1,7,28,1,0,0,1,1.099,280
1,0,28,1,0,0,1,1.099,281
1,3,48,1,0,0,1,1.159,282
1,11,27,1,0,0,1,1.159,283
1,11,30,1,0,1,0,1.159,284
0,4,34,1,0,1,1,1.159,285
0,8,32,1,0,0,1,1.159,286
0,11,16,1,0,0,1,1.159,287
1,6,45,1,0,0,1,1.159,288
0,0,24,1,0,0,1,1.159,289
1,6,15,1,0,0,0,1.159,290
0,7,41,1,0,0,1,1.159,291
0,3,35,1,0,0,1,1.159,292
0,7,17,1,1,0,0,1.159,292
0,11,22,1,1,0,0,1.159,293
1,0,39,1,0,0,0,1.159,294
0,5,24,1,1,0,1,1.159,295
1,9,21,0,0,1,0,1.281,296
1,11,46,0,0,0,0,1.281,297
1,10,23,0,0,1,0,1.281,298
1,15,25,0,0,0,1,1.281,299
1,11,24,0,0,0,0,1.281,299
1,0,28,0,0,0,0,1.281,300
0,13,35,0,0,0,1,1.161,301
1,9,15,0,0,0,0,1.161,301
0,14,20,0,0,0,1,1.161,301
1,13,20,0,0,0,1,1.161,301
1,16,27,0,0,0,1,1.161,302
0,12,20,0,0,0,1,1.161,302
0,13,31,0,0,1,1,1.161,302
1,15,22,0,1,0,0,1.161,303
1,11,49,0,0,0,1,1.161,304
